import time: self [us] | cumulative | imported package
import time:        61 |         61 |   _io
import time:        12 |         12 |   marshal
import time:       132 |        132 |   posix
import time:       132 |        335 | _frozen_importlib_external
import time:       806 |        806 |   time
import time:        40 |        846 | zipimport
import time:        18 |         18 |     _codecs
import time:       122 |        140 |   codecs
import time:      1227 |       1227 |   encodings.aliases
import time:       640 |       2006 | encodings
import time:       462 |        462 | encodings.utf_8
import time:        34 |         34 | _signal
import time:        10 |         10 |     _abc
import time:        55 |         64 |   abc
import time:        59 |        123 | io
import time:        17 |         17 |       _stat
import time:        22 |         39 |     stat
import time:       291 |        291 |     _collections_abc
import time:        13 |         13 |       genericpath
import time:        23 |         35 |     posixpath
import time:       114 |        478 |   os
import time:        23 |         23 |   _sitebuiltins
import time:       697 |        697 |   _virtualenv
import time:       284 |        284 |   sitecustomize
import time:      1448 |       2928 | site
import time:        72 |         72 | math
import time:       254 |        254 |       __future__
import time:       282 |        282 |             types
import time:        26 |         26 |               _operator
import time:       308 |        333 |             operator
import time:        32 |         32 |                 itertools
import time:       230 |        230 |                 keyword
import time:       277 |        277 |                 reprlib
import time:        51 |         51 |                 _collections
import time:       475 |       1063 |               collections
import time:        19 |         19 |               _functools
import time:      1696 |       2777 |             functools
import time:      1046 |       4436 |           enum
import time:        26 |         26 |             _sre
import time:       287 |        287 |               re._constants
import time:       312 |        598 |             re._parser
import time:       253 |        253 |             re._casefix
import time:       478 |       1353 |           re._compiler
import time:       245 |        245 |           copyreg
import time:       450 |       6483 |         re
import time:       449 |        449 |           collections.abc
import time:       281 |        281 |               token
import time:       601 |        882 |             tokenize
import time:       268 |       1149 |           linecache
import time:       593 |        593 |           textwrap
import time:       433 |        433 |           contextlib
import time:       505 |       3129 |         traceback
import time:       337 |        337 |         warnings
import time:       323 |        323 |           _weakrefset
import time:       519 |        842 |         weakref
import time:        16 |         16 |           _string
import time:       399 |        415 |         string
import time:       454 |        454 |         threading
import time:        17 |         17 |         atexit
import time:       903 |      12577 |       logging
import time:        17 |         17 |         _typing
import time:      1193 |       1210 |       typing
import time:       294 |        294 |         importlib
import time:       381 |        381 |                       _ast
import time:       559 |        940 |                     ast
import time:        13 |         13 |                         _opcode
import time:       882 |        895 |                       opcode
import time:       469 |       1364 |                     dis
import time:        24 |         24 |                     importlib.machinery
import time:      1096 |       3422 |                   inspect
import time:        80 |         80 |                   _socket
import time:      1102 |       4604 |                 typing_extensions
import time:        96 |         96 |                     _datetime
import time:       539 |        634 |                   datetime
import time:      1447 |       2081 |                 pydantic_core._pydantic_core
import time:       319 |        319 |                       numbers
import time:       214 |        532 |                     _decimal
import time:       258 |        789 |                   decimal
import time:       262 |        262 |                           concurrent
import time:       570 |        570 |                           concurrent.futures._base
import time:       436 |       1267 |                         concurrent.futures
import time:        24 |         24 |                         errno
import time:        21 |         21 |                           _heapq
import time:       394 |        415 |                         heapq
import time:        34 |         34 |                             select
import time:       467 |        500 |                           selectors
import time:        35 |         35 |                           array
import time:       639 |       1173 |                         socket
import time:        71 |         71 |                             _locale
import time:       513 |        584 |                           locale
import time:       374 |        374 |                           signal
import time:        17 |         17 |                           fcntl
import time:        32 |         32 |                           msvcrt
import time:         9 |          9 |                           _posixsubprocess
import time:       426 |       1440 |                         subprocess
import time:       727 |        727 |                           _ssl
import time:        26 |         26 |                               _struct
import time:       270 |        296 |                             struct
import time:        20 |         20 |                             binascii
import time:       318 |        633 |                           base64
import time:      2486 |       3845 |                         ssl
import time:       323 |        323 |                         asyncio.constants
import time:       310 |        310 |                         asyncio.coroutines
import time:        15 |         15 |                             _contextvars
import time:       274 |        288 |                           contextvars
import time:       273 |        273 |                           asyncio.format_helpers
import time:       336 |        336 |                             asyncio.base_futures
import time:       304 |        304 |                             asyncio.exceptions
import time:       256 |        256 |                             asyncio.base_tasks
import time:        46 |        941 |                           _asyncio
import time:       442 |       1944 |                         asyncio.events
import time:       286 |        286 |                         asyncio.futures
import time:       286 |        286 |                         asyncio.protocols
import time:       335 |        335 |                           asyncio.transports
import time:       296 |        296 |                           asyncio.log
import time:       420 |       1049 |                         asyncio.sslproto
import time:       270 |        270 |                             asyncio.mixins
import time:       448 |        448 |                             asyncio.tasks
import time:       386 |       1102 |                           asyncio.locks
import time:       346 |       1448 |                         asyncio.staggered
import time:       252 |        252 |                         asyncio.trsock
import time:       901 |      14956 |                       asyncio.base_events
import time:       334 |        334 |                       asyncio.runners
import time:       334 |        334 |                       asyncio.queues
import time:       330 |        330 |                       asyncio.streams
import time:      1218 |       1218 |                       asyncio.subprocess
import time:       330 |        330 |                       asyncio.taskgroups
import time:       473 |        473 |                       asyncio.timeouts
import time:       286 |        286 |                       asyncio.threads
import time:       335 |        335 |                         asyncio.base_subprocess
import time:       465 |        465 |                         asyncio.selector_events
import time:       482 |       1281 |                       asyncio.unix_events
import time:       463 |      20000 |                     asyncio
import time:         8 |      20008 |                   asyncio.coroutines
import time:      3530 |      24326 |                 pydantic_core.core_schema
import time:       433 |      31443 |               pydantic_core
import time:       237 |      31680 |             pydantic.version
import time:       323 |      32003 |           pydantic.warnings
import time:       516 |      32518 |         pydantic._migration
import time:       259 |        259 |             typing_inspection
import time:        31 |         31 |                     org
import time:         7 |         37 |                   org.python
import time:         6 |         43 |                 org.python.core
import time:       271 |        314 |               copy
import time:       497 |        810 |             dataclasses
import time:       764 |        764 |             typing_inspection.typing_objects
import time:       707 |       2539 |           typing_inspection.introspection
import time:       267 |        267 |           pydantic._internal
import time:       513 |        513 |               pydantic._internal._namespace_utils
import time:       480 |        992 |             pydantic._internal._typing_extra
import time:       558 |       1550 |           pydantic._internal._repr
import time:       368 |       4722 |         pydantic.errors
import time:       346 |      37879 |       pydantic
import time:       245 |        245 |           pydantic._internal._internal_dataclass
import time:       760 |       1005 |         pydantic.aliases
import time:       593 |        593 |         pydantic.config
import time:      1223 |       2820 |       pydantic._internal._config
import time:       338 |        338 |         pydantic._internal._core_utils
import time:       309 |        309 |           pydantic._internal._import_utils
import time:       710 |       1018 |         pydantic._internal._utils
import time:      1805 |       3161 |       pydantic._internal._decorators
import time:       426 |        426 |           pydantic._internal._forward_ref
import time:       896 |       1321 |         pydantic._internal._generics
import time:       827 |        827 |         pydantic._internal._docs_extraction
import time:       693 |       2840 |       pydantic._internal._fields
import time:       496 |        496 |           pydantic.plugin
import time:       519 |       1014 |         pydantic.plugin._schema_validator
import time:       357 |       1371 |       pydantic._internal._mock_val_ser
import time:       267 |        267 |             fnmatch
import time:        32 |         32 |               _winapi
import time:        25 |         25 |               nt
import time:        23 |         23 |               nt
import time:        22 |         22 |               nt
import time:        22 |         22 |               nt
import time:        22 |         22 |               nt
import time:        37 |        181 |             ntpath
import time:       381 |        381 |               urllib
import time:       771 |        771 |               ipaddress
import time:       758 |       1909 |             urllib.parse
import time:       567 |       2921 |           pathlib
import time:       596 |        596 |           fractions
import time:        15 |         15 |             _uuid
import time:       370 |        384 |           uuid
import time:       429 |        429 |               sysconfig
import time:      1521 |       1521 |               _sysconfigdata__darwin_darwin
import time:       363 |        363 |               _osx_support
import time:      1077 |       3388 |             zoneinfo._tzpath
import time:       331 |        331 |             zoneinfo._common
import time:        27 |         27 |             _zoneinfo
import time:       280 |       4025 |           zoneinfo
import time:       275 |        275 |           pydantic.annotated_handlers
import time:      1468 |       1468 |           pydantic.functional_validators
import time:       290 |        290 |             pydantic._internal._core_metadata
import time:       446 |        446 |             pydantic._internal._schema_generation_shared
import time:       956 |       1691 |           pydantic.json_schema
import time:       413 |        413 |           pydantic._internal._discriminated_union
import time:       280 |        280 |           pydantic._internal._known_annotated_metadata
import time:       420 |        420 |           pydantic._internal._schema_gather
import time:       742 |      13211 |         pydantic._internal._generate_schema
import time:       360 |        360 |         pydantic._internal._signature
import time:       585 |      14155 |       pydantic._internal._model_construction
import time:      2921 |       2921 |       annotated_types
import time:       357 |        357 |       pydantic._internal._validators
import time:      2793 |       2793 |       pydantic.types
import time:        37 |         37 |             _csv
import time:       421 |        457 |           csv
import time:       386 |        386 |           email
import time:       281 |        281 |               importlib._abc
import time:        48 |        329 |             importlib.util
import time:        71 |         71 |               zlib
import time:       300 |        300 |                 _compression
import time:        16 |         16 |                 _bz2
import time:       287 |        601 |               bz2
import time:        26 |         26 |                 _lzma
import time:       300 |        325 |               lzma
import time:       412 |       1408 |             shutil
import time:       705 |       2441 |           zipfile
import time:       268 |        268 |               quopri
import time:        11 |         11 |                     _bisect
import time:       286 |        297 |                   bisect
import time:        13 |         13 |                   _random
import time:        51 |         51 |                   _sha512
import time:       540 |        898 |                 random
import time:       466 |        466 |                   calendar
import time:      1184 |       1650 |                 email._parseaddr
import time:       315 |        315 |                   email.base64mime
import time:       334 |        334 |                   email.quoprimime
import time:       515 |        515 |                   email.errors
import time:       322 |        322 |                   email.encoders
import time:       392 |       1876 |                 email.charset
import time:       455 |       4877 |               email.utils
import time:       466 |        466 |                 email.header
import time:       379 |        845 |               email._policybase
import time:       372 |        372 |               email._encoded_words
import time:       292 |        292 |               email.iterators
import time:       714 |       7365 |             email.message
import time:       320 |        320 |               importlib.metadata._functools
import time:       302 |        621 |             importlib.metadata._text
import time:       535 |       8521 |           importlib.metadata._adapters
import time:       392 |        392 |           importlib.metadata._meta
import time:       409 |        409 |           importlib.metadata._collections
import time:       321 |        321 |           importlib.metadata._itertools
import time:       501 |        501 |                   tempfile
import time:      1474 |       1474 |                   importlib.resources.abc
import time:       431 |        431 |                   importlib.resources._adapters
import time:       583 |       2989 |                 importlib.resources._common
import time:       292 |        292 |                 importlib.resources._legacy
import time:       336 |       3615 |               importlib.resources
import time:         6 |       3620 |             importlib.resources.abc
import time:       439 |       4059 |           importlib.abc
import time:       919 |      17901 |         importlib.metadata
import time:      1673 |      19573 |       pydantic.plugin._loader
import time:     12037 |     113942 |     nova.actions.base
import time:       290 |        290 |       nova.api
import time:       862 |        862 |                 pprint
import time:        22 |         22 |                       _json
import time:       356 |        377 |                     json.scanner
import time:       641 |       1018 |                   json.decoder
import time:       729 |        729 |                   json.encoder
import time:       285 |       2031 |                 json
import time:       664 |        664 |                 wandelbots_api_client.models.abb_controller_egm_server
import time:      1140 |       4695 |               wandelbots_api_client.models.abb_controller
import time:       598 |        598 |               wandelbots_api_client.models.activate_license_request
import time:       709 |        709 |                   wandelbots_api_client.models.vector3d
